,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r9,0,52417,385650
1,1988_01_01_training_r9,0,37874,404596
2,1988_02_01_training_r9,0,11442,437211
3,1988_03_01_training_r9,0,165729,294962
4,1988_04_01_training_r9,0,151246,305535
5,1988_05_01_training_r9,0,500000,0
6,1988_06_01_training_r9,0,140917,274328
7,1988_07_01_training_r9,0,500000,0
8,1988_08_01_training_r9,0,500000,0
9,1988_09_01_training_r9,0,175839,179273
10,1988_10_01_training_r9,0,290670,136221
11,1988_11_01_training_r9,0,105058,326743
12,1988_12_01_training_r9,0,133667,311967
13,1989_01_01_training_r9,0,82610,354448
14,1989_02_01_training_r9,0,10376,433568
15,1989_03_01_training_r9,0,3111,445998
16,1989_04_01_training_r9,0,61886,371859
17,1989_05_01_training_r9,0,500000,0
18,1989_06_01_training_r9,0,500000,0
19,1989_07_01_training_r9,0,500000,0
20,1989_08_01_training_r9,0,500000,0
21,1989_09_01_training_r9,0,500000,0
22,1989_10_01_training_r9,0,87801,278413
23,1989_11_01_training_r9,0,13032,401629
24,1989_12_01_training_r9,0,249162,200619
25,1990_01_01_training_r9,0,89320,334688
26,1990_02_01_training_r9,0,55946,388548
27,1990_03_01_training_r9,0,500000,0
28,1990_04_01_training_r9,0,455902,9995
29,1990_05_01_training_r9,0,7288,400450
30,1990_06_01_training_r9,0,485992,3
31,1990_07_01_training_r9,0,500000,0
32,1990_08_01_training_r9,0,180835,212995
33,1990_09_01_training_r9,0,338439,85205
34,1990_10_01_training_r9,0,168246,263323
35,1990_11_01_training_r9,0,205912,248839
36,1990_12_01_training_r9,0,90283,348507
37,1991_01_01_training_r9,0,137908,317351
38,1991_02_01_training_r9,0,117142,338476
39,1991_03_01_training_r9,0,17685,423582
40,1991_04_01_training_r9,0,276309,175542
41,1991_05_01_training_r9,0,500000,0
42,1991_06_01_training_r9,0,500000,0
43,1991_07_01_training_r9,0,157381,184733
44,1991_08_01_training_r9,0,500000,0
45,1991_09_01_training_r9,0,500000,0
46,1991_10_01_training_r9,0,306174,112052
47,1991_11_01_training_r9,0,4859,409565
48,1991_12_01_training_r9,0,24421,415019
49,1992_01_01_training_r9,0,191645,261781
50,1992_02_01_training_r9,0,372863,87418
51,1992_03_01_training_r9,0,9536,435068
52,1992_04_01_training_r9,0,47464,378765
53,1992_05_01_training_r9,0,260186,186209
54,1992_06_01_training_r9,0,500000,0
55,1992_07_01_training_r9,0,500000,0
56,1992_08_01_training_r9,0,500000,0
57,1992_09_01_training_r9,0,500000,0
58,1992_10_01_training_r9,0,500000,0
59,1992_11_01_training_r9,0,93957,344615
60,1992_12_01_training_r9,0,367527,89478
61,1993_01_01_training_r9,0,265244,180063
62,1993_02_01_training_r9,0,380823,87770
63,1993_03_01_training_r9,0,500000,0
64,1993_04_01_training_r9,0,466879,17286
65,1993_05_01_training_r9,0,499715,238
66,1993_06_01_training_r9,0,500000,0
67,1993_07_01_training_r9,0,236208,126188
68,1993_08_01_training_r9,0,298317,88723
69,1993_09_01_training_r9,0,136202,262718
70,1993_10_01_training_r9,0,155898,277410
71,1993_11_01_training_r9,0,110519,331324
72,1993_12_01_training_r9,0,123932,326234
73,1994_01_01_training_r9,0,500000,0
74,1994_02_01_training_r9,0,500000,0
75,1994_03_01_training_r9,0,500000,0
76,1994_04_01_training_r9,0,500000,0
77,1994_05_01_training_r9,0,500000,0
78,1994_06_01_training_r9,0,500000,0
79,1994_07_01_training_r9,0,500000,0
80,1994_08_01_training_r9,0,391767,68052
81,1994_09_01_training_r9,0,500000,0
82,1994_10_01_training_r9,0,115074,298244
83,1994_11_01_training_r9,0,120598,326395
84,1994_12_01_training_r9,0,59078,382409
85,1995_01_01_training_r9,0,115442,334274
86,1995_02_01_training_r9,0,287221,176388
87,1995_03_01_training_r9,0,134033,330387
88,1995_04_01_training_r9,0,398638,77619
89,1995_05_01_training_r9,0,500000,0
90,1995_06_01_training_r9,0,500000,0
91,1995_07_01_training_r9,0,500000,0
92,1995_08_01_training_r9,0,500000,0
93,1995_09_01_training_r9,0,500000,0
94,1995_10_01_training_r9,0,500000,0
95,1995_11_01_training_r9,0,500000,0
96,1995_12_01_training_r9,0,500000,0
97,1996_01_01_training_r9,0,500000,0
98,1996_02_01_training_r9,0,500000,0
99,1996_03_01_training_r9,0,500000,0
100,1996_04_01_training_r9,0,500000,0
101,1996_05_01_training_r9,0,500000,0
102,1996_06_01_training_r9,0,500000,0
103,1996_07_01_training_r9,0,500000,0
104,1996_08_01_training_r9,0,500000,0
105,1996_09_01_training_r9,0,500000,0
106,1996_10_01_training_r9,0,24035,361301
107,1996_11_01_training_r9,0,500000,0
108,1996_12_01_training_r9,0,500000,0
109,1997_01_01_training_r9,0,60034,387973
110,1997_02_01_training_r9,0,500000,0
111,1997_03_01_training_r9,0,500000,0
112,1997_04_01_training_r9,0,500000,0
113,1997_05_01_training_r9,0,500000,0
114,1997_06_01_training_r9,0,500000,0
115,1997_07_01_training_r9,0,500000,0
116,1997_08_01_training_r9,0,500000,0
117,1997_09_01_training_r9,0,500000,0
118,1997_10_01_training_r9,0,500000,0
119,1997_11_01_training_r9,0,500000,0
120,1997_12_01_training_r9,0,500000,0
121,1998_01_01_training_r9,0,500000,0
122,1998_02_01_training_r9,0,500000,0
123,1998_03_01_training_r9,0,500000,0
124,1998_04_01_training_r9,0,500000,0
125,1998_05_01_training_r9,0,500000,0
126,1998_06_01_training_r9,0,500000,0
127,1998_07_01_training_r9,0,500000,0
128,1998_08_01_training_r9,0,500000,0
129,1998_09_01_training_r9,0,500000,0
130,1998_10_01_training_r9,0,500000,0
131,1998_11_01_training_r9,0,500000,0
132,1998_12_01_training_r9,0,500000,0
133,1999_01_01_training_r9,0,500000,0
134,1999_02_01_training_r9,0,500000,0
135,1999_03_01_training_r9,0,500000,0
136,1999_04_01_training_r9,0,500000,0
137,1999_05_01_training_r9,0,500000,0
138,1999_06_01_training_r9,0,500000,0
139,1999_07_01_training_r9,0,500000,0
140,1999_08_01_training_r9,0,449176,13229
141,1999_09_01_training_r9,0,91516,243985
142,1999_10_01_training_r9,0,125108,272058
143,1999_11_01_training_r9,0,12274,404958
144,1999_12_01_training_r9,0,134181,316678
145,2000_01_01_training_r9,0,160415,302074
146,2000_02_01_training_r9,0,33151,416537
147,2000_03_01_training_r9,0,260139,197228
148,2000_04_01_training_r9,0,125299,333335
149,2000_05_01_training_r9,0,277854,161918
150,2000_06_01_training_r9,0,140508,269661
151,2000_07_01_training_r9,0,189376,187429
152,2000_08_01_training_r9,0,181431,150711
153,2000_09_01_training_r9,0,80516,252093
154,2000_10_01_training_r9,0,108449,284364
155,2000_11_01_training_r9,0,59154,370640
156,2000_12_01_training_r9,0,146868,309681
157,2001_01_01_training_r9,0,237398,216544
158,2001_02_01_training_r9,0,186814,274723
159,2001_03_01_training_r9,0,6729,446196
160,2001_04_01_training_r9,0,16984,417695
161,2001_05_01_training_r9,0,149530,295159
162,2001_06_01_training_r9,0,434371,44936
163,2001_07_01_training_r9,0,465666,13699
164,2001_08_01_training_r9,0,349974,55553
165,2001_09_01_training_r9,0,216671,169983
166,2001_10_01_training_r9,0,16080,373270
167,2001_11_01_training_r9,0,126548,314224
168,2001_12_01_training_r9,0,9347,431053
169,2002_01_01_training_r9,0,474272,14950
170,2002_02_01_training_r9,0,30580,407095
171,2002_03_01_training_r9,0,1940,447480
172,2002_04_01_training_r9,0,93439,356081
173,2002_05_01_training_r9,0,3983,421041
174,2002_06_01_training_r9,0,405600,69491
175,2002_07_01_training_r9,0,500000,0
176,2002_08_01_training_r9,0,353436,65636
177,2002_09_01_training_r9,0,114236,275908
178,2002_10_01_training_r9,0,336,369200
179,2002_11_01_training_r9,0,5851,423005
180,2002_12_01_training_r9,0,165440,285643
181,2003_01_01_training_r9,0,121913,324103
182,2003_02_01_training_r9,0,38027,405665
183,2003_03_01_training_r9,0,114696,332679
184,2003_04_01_training_r9,0,35520,410266
185,2003_05_01_training_r9,0,113059,323949
186,2003_06_01_training_r9,0,500000,0
187,2003_07_01_training_r9,0,500000,0
188,2003_08_01_training_r9,0,342265,64478
189,2003_09_01_training_r9,0,404778,32091
190,2003_10_01_training_r9,0,500000,0
191,2003_11_01_training_r9,0,31445,385007
192,2003_12_01_training_r9,0,19872,398681
193,2004_01_01_training_r9,0,117505,330754
194,2004_02_01_training_r9,0,66394,379577
195,2004_03_01_training_r9,0,272,450465
196,2004_04_01_training_r9,0,43263,375796
197,2004_05_01_training_r9,0,12203,387410
198,2004_06_01_training_r9,0,500000,0
199,2004_07_01_training_r9,0,500000,0
200,2004_08_01_training_r9,0,151203,217020
201,2004_09_01_training_r9,0,429205,12874
202,2004_10_01_training_r9,0,2886,321542
203,2004_11_01_training_r9,0,1278,403659
204,2004_12_01_training_r9,0,8170,419833
205,2005_01_01_training_r9,0,201577,236451
206,2005_02_01_training_r9,0,23319,411498
207,2005_03_01_training_r9,0,81870,338313
208,2005_04_01_training_r9,0,27831,395638
209,2005_05_01_training_r9,0,106547,302939
210,2005_06_01_training_r9,0,290363,150195
211,2005_07_01_training_r9,0,482785,17143
212,2005_08_01_training_r9,0,473421,3922
213,2005_09_01_training_r9,0,206753,202449
214,2005_10_01_training_r9,0,37728,346614
215,2005_11_01_training_r9,0,1805,408077
216,2005_12_01_training_r9,0,237298,224760
217,2006_01_01_training_r9,0,69214,371945
218,2006_02_01_training_r9,0,58618,383455
219,2006_03_01_training_r9,0,74475,369003
220,2006_04_01_training_r9,0,172960,261363
221,2006_05_01_training_r9,0,5375,409105
222,2006_06_01_training_r9,0,129373,249476
223,2006_07_01_training_r9,0,383936,75005
224,2006_08_01_training_r9,0,163553,253600
225,2006_09_01_training_r9,0,385316,57051
226,2006_10_01_training_r9,0,202,395955
227,2006_11_01_training_r9,0,5064,423069
228,2006_12_01_training_r9,0,10239,409522
229,2007_01_01_training_r9,0,114689,323859
230,2007_02_01_training_r9,0,44934,388897
231,2007_03_01_training_r9,0,4865,438418
232,2007_04_01_training_r9,0,90255,327297
233,2007_05_01_training_r9,0,2309,396002
234,2007_06_01_training_r9,0,500000,0
235,2007_07_01_training_r9,0,500000,0
236,2007_08_01_training_r9,0,227632,162633
237,2007_09_01_training_r9,0,66505,250323
238,2007_10_01_training_r9,0,40773,356248
239,2007_11_01_training_r9,0,40894,382125
240,2007_12_01_training_r9,0,125365,319541
241,2008_01_01_training_r9,0,122426,316354
242,2008_02_01_training_r9,0,111861,322467
243,2008_03_01_training_r9,0,8354,429074
244,2008_04_01_training_r9,0,1657,423494
245,2008_05_01_training_r9,0,22848,387470
246,2008_06_01_training_r9,0,335745,101778
247,2008_07_01_training_r9,0,500000,0
248,2008_08_01_training_r9,0,500000,0
249,2008_09_01_training_r9,0,199311,185041
250,2008_10_01_training_r9,0,188,391338
251,2008_11_01_training_r9,0,26765,392460
252,2008_12_01_training_r9,0,6300,413038
253,2009_01_01_training_r9,0,45730,386423
254,2009_02_01_training_r9,0,25507,416149
255,2009_03_01_training_r9,0,2967,438120
256,2009_04_01_training_r9,0,5726,420335
257,2009_05_01_training_r9,0,130953,306074
258,2009_06_01_training_r9,0,97552,324169
259,2009_07_01_training_r9,0,112206,264023
260,2009_08_01_training_r9,0,500000,0
261,2009_09_01_training_r9,0,451733,1160
262,2009_10_01_training_r9,0,190,390265
263,2009_11_01_training_r9,0,43252,381579
264,2009_12_01_training_r9,0,169011,276877
265,2010_01_01_training_r9,0,39415,404691
266,2010_02_01_training_r9,0,106004,341353
267,2010_03_01_training_r9,0,119988,322634
268,2010_04_01_training_r9,0,43868,348632
269,2010_05_01_training_r9,0,80302,311434
270,2010_06_01_training_r9,0,303105,126263
271,2010_07_01_training_r9,0,500000,0
272,2010_08_01_training_r9,0,440972,15511
273,2010_09_01_training_r9,0,452799,20209
274,2010_10_01_training_r9,0,1012,374590
275,2010_11_01_training_r9,0,6698,410103
276,2010_12_01_training_r9,0,37061,400236
277,2011_01_01_training_r9,0,56121,376246
278,2011_02_01_training_r9,0,56933,368384
279,2011_03_01_training_r9,0,20892,425713
280,2011_04_01_training_r9,0,26346,414144
281,2011_05_01_training_r9,0,500000,0
282,2011_06_01_training_r9,0,500000,0
283,2011_07_01_training_r9,0,447684,1841
284,2011_08_01_training_r9,0,37945,307107
285,2011_09_01_training_r9,0,4260,376384
286,2011_10_01_training_r9,0,7868,393049
287,2011_11_01_training_r9,0,1251,433609
288,2011_12_01_training_r9,0,183823,272941
289,2012_01_01_training_r9,0,388319,72239
290,2012_02_01_training_r9,0,131354,323348
291,2012_03_01_training_r9,0,82407,378627
292,2012_04_01_training_r9,0,34727,406812
293,2012_05_01_training_r9,0,199577,243739
294,2012_06_01_training_r9,0,499927,4
295,2012_07_01_training_r9,0,500000,0
296,2012_08_01_training_r9,0,500000,0
297,2012_09_01_training_r9,0,197605,177237
298,2012_10_01_training_r9,0,116196,279745
299,2012_11_01_training_r9,0,126547,315094
300,2012_12_01_training_r9,0,210037,234322
301,2013_01_01_training_r9,0,96011,347573
302,2013_02_01_training_r9,0,35827,416028
303,2013_03_01_training_r9,0,35800,420591
304,2013_04_01_training_r9,0,36,431085
305,2013_05_01_training_r9,0,103347,317059
306,2013_06_01_training_r9,0,169703,254217
307,2013_07_01_training_r9,0,373458,73827
308,2013_08_01_training_r9,0,203371,210946
309,2013_09_01_training_r9,0,25104,301067
310,2013_10_01_training_r9,0,658,393291
311,2013_11_01_training_r9,0,7,416908
312,2013_12_01_training_r9,0,3542,434154
313,2014_01_01_training_r9,0,158931,286793
314,2014_02_01_training_r9,0,11092,427929
315,2014_03_01_training_r9,0,89,452839
316,2014_04_01_training_r9,0,0,447563
317,2014_05_01_training_r9,0,30010,377203
318,2014_06_01_training_r9,0,41213,348813
319,2014_07_01_training_r9,0,242012,166607
320,2014_08_01_training_r9,0,202532,163713
321,2014_09_01_training_r9,0,190984,170627
322,2014_10_01_training_r9,0,9,379785
323,2014_11_01_training_r9,0,6143,420053
324,2014_12_01_training_r9,0,15195,422759
325,2015_01_01_training_r9,0,299340,173692
326,2015_02_01_training_r9,0,39214,421006
327,2015_03_01_training_r9,0,33702,422669
328,2015_04_01_training_r9,0,25659,407851
329,2015_05_01_training_r9,0,23125,406594
330,2015_06_01_training_r9,0,386156,36473
331,2015_07_01_training_r9,0,41698,365639
332,2015_08_01_training_r9,0,324471,35747
333,2015_09_01_training_r9,0,85465,258262
334,2015_10_01_training_r9,0,45,369892
335,2015_11_01_training_r9,0,599,415749
336,2015_12_01_training_r9,0,20320,415747
337,2016_01_01_training_r9,0,77207,367470
338,2016_02_01_training_r9,0,869,450686
339,2016_03_01_training_r9,0,915,439873
340,2016_04_01_training_r9,0,13074,406575
341,2016_05_01_training_r9,0,244326,183542
342,2016_06_01_training_r9,0,372680,101756
343,2016_07_01_training_r9,0,489500,2164
344,2016_08_01_training_r9,0,45533,272912
345,2016_09_01_training_r9,0,226787,181057
346,2016_10_01_training_r9,0,404,371709
347,2016_11_01_training_r9,0,138,422416
348,2016_12_01_training_r9,0,1334,436223
349,2017_01_01_training_r9,0,12164,433231
350,2017_02_01_training_r9,0,32091,419561
351,2017_03_01_training_r9,0,900,444462
352,2017_04_01_training_r9,0,23161,419814
353,2017_05_01_training_r9,0,117730,319405
354,2017_06_01_training_r9,0,63851,327350
355,2017_07_01_training_r9,0,498376,1110
356,2017_08_01_training_r9,0,174239,174843
357,2017_09_01_training_r9,0,157404,218599
358,2017_10_01_training_r9,0,6326,352979
359,2017_11_01_training_r9,0,146,400901
360,2017_12_01_training_r9,0,2485,424223
361,2018_01_01_training_r9,0,305747,144087
362,2018_02_01_training_r9,0,32595,404192
363,2018_03_01_training_r9,0,16413,420226
364,2018_04_01_training_r9,0,17773,427048
365,2018_05_01_training_r9,0,1322,425432
366,2018_06_01_training_r9,0,104517,323239
367,2018_07_01_training_r9,0,500000,0
368,2018_08_01_training_r9,0,198576,213932
369,2018_09_01_training_r9,0,41178,284523
370,2018_10_01_training_r9,0,3152,383401
