,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r27,0,3059,451540
1,1988_01_01_training_r27,0,11660,450992
2,1988_02_01_training_r27,0,39912,422984
3,1988_03_01_training_r27,0,500000,0
4,1988_04_01_training_r27,0,455633,41284
5,1988_05_01_training_r27,0,500000,0
6,1988_06_01_training_r27,0,493890,4394
7,1988_07_01_training_r27,0,221053,143594
8,1988_08_01_training_r27,0,500000,0
9,1988_09_01_training_r27,0,500000,0
10,1988_10_01_training_r27,0,499521,338
11,1988_11_01_training_r27,0,494733,4178
12,1988_12_01_training_r27,0,7034,433665
13,1989_01_01_training_r27,0,9010,443723
14,1989_02_01_training_r27,0,112739,351824
15,1989_03_01_training_r27,0,12528,428123
16,1989_04_01_training_r27,0,491434,6862
17,1989_05_01_training_r27,0,500000,0
18,1989_06_01_training_r27,0,500000,0
19,1989_07_01_training_r27,0,500000,0
20,1989_08_01_training_r27,0,142392,247010
21,1989_09_01_training_r27,0,500000,0
22,1989_10_01_training_r27,0,404431,80777
23,1989_11_01_training_r27,0,12013,430971
24,1989_12_01_training_r27,0,139428,330186
25,1990_01_01_training_r27,0,20112,440000
26,1990_02_01_training_r27,0,31904,420552
27,1990_03_01_training_r27,0,9290,446949
28,1990_04_01_training_r27,0,289731,166558
29,1990_05_01_training_r27,0,10637,386807
30,1990_06_01_training_r27,0,488186,7936
31,1990_07_01_training_r27,0,500000,0
32,1990_08_01_training_r27,0,493919,3301
33,1990_09_01_training_r27,0,500000,0
34,1990_10_01_training_r27,0,500000,0
35,1990_11_01_training_r27,0,500000,0
36,1990_12_01_training_r27,0,499112,752
37,1991_01_01_training_r27,0,7521,457040
38,1991_02_01_training_r27,0,500000,0
39,1991_03_01_training_r27,0,497075,2634
40,1991_04_01_training_r27,0,11782,401938
41,1991_05_01_training_r27,0,500000,0
42,1991_06_01_training_r27,0,500000,0
43,1991_07_01_training_r27,0,500000,0
44,1991_08_01_training_r27,0,498107,751
45,1991_09_01_training_r27,0,500000,0
46,1991_10_01_training_r27,0,34162,377071
47,1991_11_01_training_r27,0,13471,434074
48,1991_12_01_training_r27,0,9561,441041
49,1992_01_01_training_r27,0,133497,322984
50,1992_02_01_training_r27,0,500000,0
51,1992_03_01_training_r27,0,489336,3082
52,1992_04_01_training_r27,0,37081,379597
53,1992_05_01_training_r27,0,173683,235510
54,1992_06_01_training_r27,0,500000,0
55,1992_07_01_training_r27,0,500000,0
56,1992_08_01_training_r27,0,500000,0
57,1992_09_01_training_r27,0,500000,0
58,1992_10_01_training_r27,0,9653,427475
59,1992_11_01_training_r27,0,489931,8878
60,1992_12_01_training_r27,0,489769,9148
61,1993_01_01_training_r27,0,499877,50
62,1993_02_01_training_r27,0,497349,2376
63,1993_03_01_training_r27,0,463895,36014
64,1993_04_01_training_r27,0,500000,0
65,1993_05_01_training_r27,0,500000,0
66,1993_06_01_training_r27,0,500000,0
67,1993_07_01_training_r27,0,500000,0
68,1993_08_01_training_r27,0,500000,0
69,1993_09_01_training_r27,0,500000,0
70,1993_10_01_training_r27,0,500000,0
71,1993_11_01_training_r27,0,500000,0
72,1993_12_01_training_r27,0,500000,0
73,1994_01_01_training_r27,0,500000,0
74,1994_02_01_training_r27,0,500000,0
75,1994_03_01_training_r27,0,500000,0
76,1994_04_01_training_r27,0,500000,0
77,1994_05_01_training_r27,0,500000,0
78,1994_06_01_training_r27,0,500000,0
79,1994_07_01_training_r27,0,478541,13057
80,1994_08_01_training_r27,0,500000,0
81,1994_09_01_training_r27,0,500000,0
82,1994_10_01_training_r27,0,500000,0
83,1994_11_01_training_r27,0,500000,0
84,1994_12_01_training_r27,0,500000,0
85,1995_01_01_training_r27,0,500000,0
86,1995_02_01_training_r27,0,500000,0
87,1995_03_01_training_r27,0,500000,0
88,1995_04_01_training_r27,0,500000,0
89,1995_05_01_training_r27,0,500000,0
90,1995_06_01_training_r27,0,500000,0
91,1995_07_01_training_r27,0,500000,0
92,1995_08_01_training_r27,0,500000,0
93,1995_09_01_training_r27,0,500000,0
94,1995_10_01_training_r27,0,460981,30280
95,1995_11_01_training_r27,0,500000,0
96,1995_12_01_training_r27,0,12678,439764
97,1996_01_01_training_r27,0,500000,0
98,1996_02_01_training_r27,0,500000,0
99,1996_03_01_training_r27,0,500000,0
100,1996_04_01_training_r27,0,5889,429345
101,1996_05_01_training_r27,0,500000,0
102,1996_06_01_training_r27,0,68486,343176
103,1996_07_01_training_r27,0,500000,0
104,1996_08_01_training_r27,0,500000,0
105,1996_09_01_training_r27,0,500000,0
106,1996_10_01_training_r27,0,500000,0
107,1996_11_01_training_r27,0,500000,0
108,1996_12_01_training_r27,0,500000,0
109,1997_01_01_training_r27,0,500000,0
110,1997_02_01_training_r27,0,500000,0
111,1997_03_01_training_r27,0,500000,0
112,1997_04_01_training_r27,0,500000,0
113,1997_05_01_training_r27,0,500000,0
114,1997_06_01_training_r27,0,500000,0
115,1997_07_01_training_r27,0,500000,0
116,1997_08_01_training_r27,0,500000,0
117,1997_09_01_training_r27,0,500000,0
118,1997_10_01_training_r27,0,500000,0
119,1997_11_01_training_r27,0,500000,0
120,1997_12_01_training_r27,0,500000,0
121,1998_01_01_training_r27,0,500000,0
122,1998_02_01_training_r27,0,500000,0
123,1998_03_01_training_r27,0,500000,0
124,1998_04_01_training_r27,0,500000,0
125,1998_05_01_training_r27,0,500000,0
126,1998_06_01_training_r27,0,500000,0
127,1998_07_01_training_r27,0,500000,0
128,1998_08_01_training_r27,0,500000,0
129,1998_09_01_training_r27,0,500000,0
130,1998_10_01_training_r27,0,500000,0
131,1998_11_01_training_r27,0,500000,0
132,1998_12_01_training_r27,0,500000,0
133,1999_01_01_training_r27,0,500000,0
134,1999_02_01_training_r27,0,500000,0
135,1999_03_01_training_r27,0,500000,0
136,1999_04_01_training_r27,0,500000,0
137,1999_05_01_training_r27,0,500000,0
138,1999_06_01_training_r27,0,500000,0
139,1999_07_01_training_r27,0,500000,0
140,1999_08_01_training_r27,0,500000,0
141,1999_09_01_training_r27,0,133768,238496
142,1999_10_01_training_r27,0,15036,391278
143,1999_11_01_training_r27,0,10882,434335
144,1999_12_01_training_r27,0,496781,2746
145,2000_01_01_training_r27,0,10831,446830
146,2000_02_01_training_r27,0,9000,445910
147,2000_03_01_training_r27,0,472961,25966
148,2000_04_01_training_r27,0,354929,90832
149,2000_05_01_training_r27,0,1405,401011
150,2000_06_01_training_r27,0,500000,0
151,2000_07_01_training_r27,0,254935,108954
152,2000_08_01_training_r27,0,495282,2480
153,2000_09_01_training_r27,0,490721,5955
154,2000_10_01_training_r27,0,1315,399083
155,2000_11_01_training_r27,0,3047,435558
156,2000_12_01_training_r27,0,4865,444632
157,2001_01_01_training_r27,0,20995,430333
158,2001_02_01_training_r27,0,9330,443290
159,2001_03_01_training_r27,0,3825,440332
160,2001_04_01_training_r27,0,460169,36622
161,2001_05_01_training_r27,0,499298,612
162,2001_06_01_training_r27,0,182037,209910
163,2001_07_01_training_r27,0,465560,5218
164,2001_08_01_training_r27,0,496230,3770
165,2001_09_01_training_r27,0,126080,265741
166,2001_10_01_training_r27,0,3227,413712
167,2001_11_01_training_r27,0,497260,2154
168,2001_12_01_training_r27,0,23112,430717
169,2002_01_01_training_r27,0,5870,435954
170,2002_02_01_training_r27,0,454969,28509
171,2002_03_01_training_r27,0,3429,437852
172,2002_04_01_training_r27,0,201266,236544
173,2002_05_01_training_r27,0,116,426194
174,2002_06_01_training_r27,0,498015,1691
175,2002_07_01_training_r27,0,500000,0
176,2002_08_01_training_r27,0,59111,299923
177,2002_09_01_training_r27,0,485777,10223
178,2002_10_01_training_r27,0,2435,391882
179,2002_11_01_training_r27,0,3004,429805
180,2002_12_01_training_r27,0,10377,440521
181,2003_01_01_training_r27,0,14104,430955
182,2003_02_01_training_r27,0,6911,438396
183,2003_03_01_training_r27,0,50302,400500
184,2003_04_01_training_r27,0,404128,86759
185,2003_05_01_training_r27,0,5442,405393
186,2003_06_01_training_r27,0,500000,0
187,2003_07_01_training_r27,0,355884,72535
188,2003_08_01_training_r27,0,496992,1710
189,2003_09_01_training_r27,0,500000,0
190,2003_10_01_training_r27,0,254789,167364
191,2003_11_01_training_r27,0,8359,428674
192,2003_12_01_training_r27,0,2320,447811
193,2004_01_01_training_r27,0,62990,391625
194,2004_02_01_training_r27,0,5324,452179
195,2004_03_01_training_r27,0,42618,374271
196,2004_04_01_training_r27,0,1857,418054
197,2004_05_01_training_r27,0,1984,401832
198,2004_06_01_training_r27,0,254267,149645
199,2004_07_01_training_r27,0,500000,0
200,2004_08_01_training_r27,0,497787,872
201,2004_09_01_training_r27,0,282375,134873
202,2004_10_01_training_r27,0,3934,407434
203,2004_11_01_training_r27,0,35267,395848
204,2004_12_01_training_r27,0,3518,428043
205,2005_01_01_training_r27,0,196802,241599
206,2005_02_01_training_r27,0,22890,386341
207,2005_03_01_training_r27,0,491982,158
208,2005_04_01_training_r27,0,500000,0
209,2005_05_01_training_r27,0,103940,312966
210,2005_06_01_training_r27,0,82744,270964
211,2005_07_01_training_r27,0,18633,328820
212,2005_08_01_training_r27,0,500000,0
213,2005_09_01_training_r27,0,1880,377848
214,2005_10_01_training_r27,0,56675,348757
215,2005_11_01_training_r27,0,1332,425421
216,2005_12_01_training_r27,0,9576,440398
217,2006_01_01_training_r27,0,96491,361053
218,2006_02_01_training_r27,0,10326,448728
219,2006_03_01_training_r27,0,54095,365474
220,2006_04_01_training_r27,0,480830,1411
221,2006_05_01_training_r27,0,499468,457
222,2006_06_01_training_r27,0,500000,0
223,2006_07_01_training_r27,0,496412,1981
224,2006_08_01_training_r27,0,116718,280554
225,2006_09_01_training_r27,0,7463,353361
226,2006_10_01_training_r27,0,4865,410440
227,2006_11_01_training_r27,0,3105,432619
228,2006_12_01_training_r27,0,5853,435855
229,2007_01_01_training_r27,0,5779,440111
230,2007_02_01_training_r27,0,5468,429388
231,2007_03_01_training_r27,0,207,440452
232,2007_04_01_training_r27,0,814,402238
233,2007_05_01_training_r27,0,489815,6665
234,2007_06_01_training_r27,0,496244,1721
235,2007_07_01_training_r27,0,398677,48584
236,2007_08_01_training_r27,0,133322,208681
237,2007_09_01_training_r27,0,1595,378469
238,2007_10_01_training_r27,0,52996,361046
239,2007_11_01_training_r27,0,483588,13564
240,2007_12_01_training_r27,0,59236,388020
241,2008_01_01_training_r27,0,106425,354670
242,2008_02_01_training_r27,0,5497,434389
243,2008_03_01_training_r27,0,41529,397413
244,2008_04_01_training_r27,0,93693,346688
245,2008_05_01_training_r27,0,480153,14739
246,2008_06_01_training_r27,0,485533,8977
247,2008_07_01_training_r27,0,492436,4465
248,2008_08_01_training_r27,0,229334,153120
249,2008_09_01_training_r27,0,16614,334098
250,2008_10_01_training_r27,0,12887,385379
251,2008_11_01_training_r27,0,275,419785
252,2008_12_01_training_r27,0,5246,434903
253,2009_01_01_training_r27,0,41771,402335
254,2009_02_01_training_r27,0,51962,391610
255,2009_03_01_training_r27,0,52678,382760
256,2009_04_01_training_r27,0,82378,344059
257,2009_05_01_training_r27,0,310344,133904
258,2009_06_01_training_r27,0,19644,383549
259,2009_07_01_training_r27,0,500000,0
260,2009_08_01_training_r27,0,493893,3956
261,2009_09_01_training_r27,0,15218,378417
262,2009_10_01_training_r27,0,444,391505
263,2009_11_01_training_r27,0,3097,424295
264,2009_12_01_training_r27,0,12477,439282
265,2010_01_01_training_r27,0,48195,407056
266,2010_02_01_training_r27,0,7336,430617
267,2010_03_01_training_r27,0,687,434062
268,2010_04_01_training_r27,0,444900,19792
269,2010_05_01_training_r27,0,482822,11279
270,2010_06_01_training_r27,0,500000,0
271,2010_07_01_training_r27,0,27982,318718
272,2010_08_01_training_r27,0,488914,7096
273,2010_09_01_training_r27,0,338326,91723
274,2010_10_01_training_r27,0,6989,421800
275,2010_11_01_training_r27,0,25714,412239
276,2010_12_01_training_r27,0,91576,367640
277,2011_01_01_training_r27,0,26626,410088
278,2011_02_01_training_r27,0,2587,437650
279,2011_03_01_training_r27,0,22463,402713
280,2011_04_01_training_r27,0,83176,356290
281,2011_05_01_training_r27,0,16524,381971
282,2011_06_01_training_r27,0,495649,2582
283,2011_07_01_training_r27,0,500000,0
284,2011_08_01_training_r27,0,499585,393
285,2011_09_01_training_r27,0,488012,8504
286,2011_10_01_training_r27,0,471,410420
287,2011_11_01_training_r27,0,1548,443013
288,2011_12_01_training_r27,0,87191,374811
289,2012_01_01_training_r27,0,27826,425816
290,2012_02_01_training_r27,0,431113,46444
291,2012_03_01_training_r27,0,63210,373880
292,2012_04_01_training_r27,0,85560,360128
293,2012_05_01_training_r27,0,102111,318587
294,2012_06_01_training_r27,0,500000,0
295,2012_07_01_training_r27,0,499768,0
296,2012_08_01_training_r27,0,113257,249159
297,2012_09_01_training_r27,0,138355,217201
298,2012_10_01_training_r27,0,84889,348694
299,2012_11_01_training_r27,0,5586,429730
300,2012_12_01_training_r27,0,57540,379394
301,2013_01_01_training_r27,0,181257,276970
302,2013_02_01_training_r27,0,346524,128434
303,2013_03_01_training_r27,0,67397,388162
304,2013_04_01_training_r27,0,292784,193830
305,2013_05_01_training_r27,0,255855,186289
306,2013_06_01_training_r27,0,495329,2470
307,2013_07_01_training_r27,0,500000,0
308,2013_08_01_training_r27,0,63698,307063
309,2013_09_01_training_r27,0,82041,300023
310,2013_10_01_training_r27,0,3280,392123
311,2013_11_01_training_r27,0,197,429805
312,2013_12_01_training_r27,0,2680,443303
313,2014_01_01_training_r27,0,9153,441852
314,2014_02_01_training_r27,0,3281,447498
315,2014_03_01_training_r27,0,595,450463
316,2014_04_01_training_r27,0,37889,388778
317,2014_05_01_training_r27,0,289781,132887
318,2014_06_01_training_r27,0,497609,1327
319,2014_07_01_training_r27,0,499003,807
320,2014_08_01_training_r27,0,500000,0
321,2014_09_01_training_r27,0,43299,325577
322,2014_10_01_training_r27,0,4877,382297
323,2014_11_01_training_r27,0,815,435251
324,2014_12_01_training_r27,0,1741,445917
325,2015_01_01_training_r27,0,5352,449754
326,2015_02_01_training_r27,0,63643,391505
327,2015_03_01_training_r27,0,6932,434927
328,2015_04_01_training_r27,0,106827,304219
329,2015_05_01_training_r27,0,290979,165983
330,2015_06_01_training_r27,0,209489,188682
331,2015_07_01_training_r27,0,1632,376551
332,2015_08_01_training_r27,0,59815,324126
333,2015_09_01_training_r27,0,27717,327793
334,2015_10_01_training_r27,0,50,402662
335,2015_11_01_training_r27,0,1149,428555
336,2015_12_01_training_r27,0,45787,401220
337,2016_01_01_training_r27,0,37668,411453
338,2016_02_01_training_r27,0,11467,431842
339,2016_03_01_training_r27,0,14886,434495
340,2016_04_01_training_r27,0,446372,23668
341,2016_05_01_training_r27,0,9982,366501
342,2016_06_01_training_r27,0,457681,25522
343,2016_07_01_training_r27,0,500000,0
344,2016_08_01_training_r27,0,4493,353851
345,2016_09_01_training_r27,0,179667,200971
346,2016_10_01_training_r27,0,92,358687
347,2016_11_01_training_r27,0,2194,437419
348,2016_12_01_training_r27,0,16760,416515
349,2017_01_01_training_r27,0,2897,441554
350,2017_02_01_training_r27,0,1707,445746
351,2017_03_01_training_r27,0,1708,428417
352,2017_04_01_training_r27,0,70640,364017
353,2017_05_01_training_r27,0,16451,376243
354,2017_06_01_training_r27,0,500000,0
355,2017_07_01_training_r27,0,134943,248012
356,2017_08_01_training_r27,0,500000,0
357,2017_09_01_training_r27,0,8136,369759
