,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r18,0,500000,0
1,1988_01_01_training_r18,0,10905,450433
2,1988_02_01_training_r18,0,8853,450947
3,1988_03_01_training_r18,0,7442,448741
4,1988_04_01_training_r18,0,500000,0
5,1988_05_01_training_r18,0,500000,0
6,1988_06_01_training_r18,0,500000,0
7,1988_07_01_training_r18,0,500000,0
8,1988_08_01_training_r18,0,500000,0
9,1988_09_01_training_r18,0,39032,373885
10,1988_10_01_training_r18,0,500000,0
11,1988_11_01_training_r18,0,20409,433777
12,1988_12_01_training_r18,0,37275,417898
13,1989_01_01_training_r18,0,13647,448540
14,1989_02_01_training_r18,0,500000,0
15,1989_03_01_training_r18,0,2306,456324
16,1989_04_01_training_r18,0,4087,445896
17,1989_05_01_training_r18,0,474113,23855
18,1989_06_01_training_r18,0,55899,351083
19,1989_07_01_training_r18,0,499413,364
20,1989_08_01_training_r18,0,500000,0
21,1989_09_01_training_r18,0,500000,0
22,1989_10_01_training_r18,0,21547,412307
23,1989_11_01_training_r18,0,11619,441244
24,1989_12_01_training_r18,0,45017,415662
25,1990_01_01_training_r18,0,110113,352895
26,1990_02_01_training_r18,0,247720,230957
27,1990_03_01_training_r18,0,192520,298538
28,1990_04_01_training_r18,0,32775,406801
29,1990_05_01_training_r18,0,179128,275975
30,1990_06_01_training_r18,0,381041,105149
31,1990_07_01_training_r18,0,500000,0
32,1990_08_01_training_r18,0,281812,141974
33,1990_09_01_training_r18,0,500000,0
34,1990_10_01_training_r18,0,9894,429040
35,1990_11_01_training_r18,0,500000,0
36,1990_12_01_training_r18,0,500000,0
37,1991_01_01_training_r18,0,500000,0
38,1991_02_01_training_r18,0,500000,0
39,1991_03_01_training_r18,0,500000,0
40,1991_04_01_training_r18,0,500000,0
41,1991_05_01_training_r18,0,220354,222779
42,1991_06_01_training_r18,0,500000,0
43,1991_07_01_training_r18,0,500000,0
44,1991_08_01_training_r18,0,499999,1
45,1991_09_01_training_r18,0,500000,0
46,1991_10_01_training_r18,0,486088,2950
47,1991_11_01_training_r18,0,5603,441294
48,1991_12_01_training_r18,0,92851,367311
49,1992_01_01_training_r18,0,45189,418491
50,1992_02_01_training_r18,0,177094,294608
51,1992_03_01_training_r18,0,18556,436580
52,1992_04_01_training_r18,0,500000,0
53,1992_05_01_training_r18,0,500000,0
54,1992_06_01_training_r18,0,419654,11016
55,1992_07_01_training_r18,0,500000,0
56,1992_08_01_training_r18,0,500000,0
57,1992_09_01_training_r18,0,500000,0
58,1992_10_01_training_r18,0,500000,0
59,1992_11_01_training_r18,0,500000,0
60,1992_12_01_training_r18,0,15487,448344
61,1993_01_01_training_r18,0,408842,54163
62,1993_02_01_training_r18,0,5428,453312
63,1993_03_01_training_r18,0,500000,0
64,1993_04_01_training_r18,0,2296,451290
65,1993_05_01_training_r18,0,500000,0
66,1993_06_01_training_r18,0,500000,0
67,1993_07_01_training_r18,0,500000,0
68,1993_08_01_training_r18,0,500000,0
69,1993_09_01_training_r18,0,500000,0
70,1993_10_01_training_r18,0,500000,0
71,1993_11_01_training_r18,0,500000,0
72,1993_12_01_training_r18,0,500000,0
73,1994_01_01_training_r18,0,500000,0
74,1994_02_01_training_r18,0,500000,0
75,1994_03_01_training_r18,0,500000,0
76,1994_04_01_training_r18,0,500000,0
77,1994_05_01_training_r18,0,500000,0
78,1994_06_01_training_r18,0,500000,0
79,1994_07_01_training_r18,0,483427,15451
80,1994_08_01_training_r18,0,439601,51365
81,1994_09_01_training_r18,0,387086,53351
82,1994_10_01_training_r18,0,9506,437895
83,1994_11_01_training_r18,0,18841,443051
84,1994_12_01_training_r18,0,194582,270523
