,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r21,0,96388,363807
1,1988_01_01_training_r21,0,21072,437542
2,1988_02_01_training_r21,0,4912,449520
3,1988_03_01_training_r21,0,206237,269181
4,1988_04_01_training_r21,0,126253,315733
5,1988_05_01_training_r21,0,500000,0
6,1988_06_01_training_r21,0,500000,0
7,1988_07_01_training_r21,0,323921,118538
8,1988_08_01_training_r21,0,489635,7544
9,1988_09_01_training_r21,0,228779,222126
10,1988_10_01_training_r21,0,500000,0
11,1988_11_01_training_r21,0,497285,2650
12,1988_12_01_training_r21,0,2864,441310
13,1989_01_01_training_r21,0,36969,418425
14,1989_02_01_training_r21,0,33318,419111
15,1989_03_01_training_r21,0,21336,430592
16,1989_04_01_training_r21,0,247831,230080
17,1989_05_01_training_r21,0,493979,5089
18,1989_06_01_training_r21,0,362115,117459
19,1989_07_01_training_r21,0,480134,8475
20,1989_08_01_training_r21,0,413861,50434
21,1989_09_01_training_r21,0,498105,409
22,1989_10_01_training_r21,0,52063,349294
23,1989_11_01_training_r21,0,8779,430604
24,1989_12_01_training_r21,0,260295,224015
25,1990_01_01_training_r21,0,74195,388612
26,1990_02_01_training_r21,0,303257,174153
27,1990_03_01_training_r21,0,10347,448732
28,1990_04_01_training_r21,0,34338,407824
29,1990_05_01_training_r21,0,9331,406439
30,1990_06_01_training_r21,0,244902,197021
31,1990_07_01_training_r21,0,500000,0
32,1990_08_01_training_r21,0,242890,204103
33,1990_09_01_training_r21,0,499999,1
34,1990_10_01_training_r21,0,255722,219416
35,1990_11_01_training_r21,0,500000,0
36,1990_12_01_training_r21,0,500000,0
37,1991_01_01_training_r21,0,18862,447191
38,1991_02_01_training_r21,0,499984,0
39,1991_03_01_training_r21,0,500000,0
40,1991_04_01_training_r21,0,26684,422242
41,1991_05_01_training_r21,0,492861,7139
42,1991_06_01_training_r21,0,500000,0
43,1991_07_01_training_r21,0,500000,0
44,1991_08_01_training_r21,0,479008,18197
45,1991_09_01_training_r21,0,500000,0
46,1991_10_01_training_r21,0,88115,332001
47,1991_11_01_training_r21,0,12018,433676
48,1991_12_01_training_r21,0,24429,435110
49,1992_01_01_training_r21,0,164729,296903
50,1992_02_01_training_r21,0,478770,12708
51,1992_03_01_training_r21,0,274963,198450
52,1992_04_01_training_r21,0,138648,303600
53,1992_05_01_training_r21,0,220100,213579
54,1992_06_01_training_r21,0,499588,178
55,1992_07_01_training_r21,0,500000,0
56,1992_08_01_training_r21,0,500000,0
57,1992_09_01_training_r21,0,500000,0
58,1992_10_01_training_r21,0,9128,428909
59,1992_11_01_training_r21,0,500000,0
60,1992_12_01_training_r21,0,254565,228804
61,1993_01_01_training_r21,0,458577,23611
62,1993_02_01_training_r21,0,228250,255131
63,1993_03_01_training_r21,0,272127,210770
64,1993_04_01_training_r21,0,241069,236536
65,1993_05_01_training_r21,0,500000,0
66,1993_06_01_training_r21,0,500000,0
67,1993_07_01_training_r21,0,500000,0
68,1993_08_01_training_r21,0,500000,0
69,1993_09_01_training_r21,0,500000,0
70,1993_10_01_training_r21,0,500000,0
71,1993_11_01_training_r21,0,500000,0
72,1993_12_01_training_r21,0,500000,0
73,1994_01_01_training_r21,0,500000,0
74,1994_02_01_training_r21,0,500000,0
75,1994_03_01_training_r21,0,500000,0
76,1994_04_01_training_r21,0,500000,0
77,1994_05_01_training_r21,0,500000,0
78,1994_06_01_training_r21,0,500000,0
79,1994_07_01_training_r21,0,419971,58177
80,1994_08_01_training_r21,0,498003,1667
81,1994_09_01_training_r21,0,331635,133438
82,1994_10_01_training_r21,0,232181,242979
83,1994_11_01_training_r21,0,332444,153310
84,1994_12_01_training_r21,0,444309,46004
85,1995_01_01_training_r21,0,500000,0
86,1995_02_01_training_r21,0,500000,0
87,1995_03_01_training_r21,0,409510,77907
88,1995_04_01_training_r21,0,224540,256993
89,1995_05_01_training_r21,0,490389,6440
90,1995_06_01_training_r21,0,500000,0
91,1995_07_01_training_r21,0,500000,0
92,1995_08_01_training_r21,0,500000,0
93,1995_09_01_training_r21,0,500000,0
94,1995_10_01_training_r21,0,500000,0
95,1995_11_01_training_r21,0,500000,0
96,1995_12_01_training_r21,0,302704,179286
97,1996_01_01_training_r21,0,500000,0
98,1996_02_01_training_r21,0,361685,109332
99,1996_03_01_training_r21,0,493725,524
100,1996_04_01_training_r21,0,58264,396015
101,1996_05_01_training_r21,0,500000,0
102,1996_06_01_training_r21,0,231307,210196
103,1996_07_01_training_r21,0,500000,0
104,1996_08_01_training_r21,0,500000,0
105,1996_09_01_training_r21,0,500000,0
106,1996_10_01_training_r21,0,484013,11594
