,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r14,0,500000,0
1,1988_01_01_training_r14,0,29999,424860
2,1988_02_01_training_r14,0,26898,433464
3,1988_03_01_training_r14,0,4604,448591
4,1988_04_01_training_r14,0,151704,319602
5,1988_05_01_training_r14,0,500000,0
6,1988_06_01_training_r14,0,296767,183376
7,1988_07_01_training_r14,0,500000,0
8,1988_08_01_training_r14,0,500000,0
9,1988_09_01_training_r14,0,22363,343175
10,1988_10_01_training_r14,0,212584,227868
11,1988_11_01_training_r14,0,14532,426749
12,1988_12_01_training_r14,0,106593,346864
13,1989_01_01_training_r14,0,42924,414821
14,1989_02_01_training_r14,0,261811,219879
15,1989_03_01_training_r14,0,2339,453600
16,1989_04_01_training_r14,0,85233,363301
17,1989_05_01_training_r14,0,500000,0
18,1989_06_01_training_r14,0,142209,283100
19,1989_07_01_training_r14,0,500000,0
20,1989_08_01_training_r14,0,500000,0
21,1989_09_01_training_r14,0,500000,0
22,1989_10_01_training_r14,0,90921,322870
23,1989_11_01_training_r14,0,47123,398441
24,1989_12_01_training_r14,0,131011,326615
25,1990_01_01_training_r14,0,172231,291514
26,1990_02_01_training_r14,0,161011,316609
27,1990_03_01_training_r14,0,145910,326655
28,1990_04_01_training_r14,0,34537,407556
29,1990_05_01_training_r14,0,37635,401120
30,1990_06_01_training_r14,0,500000,0
31,1990_07_01_training_r14,0,499969,31
32,1990_08_01_training_r14,0,201574,233557
33,1990_09_01_training_r14,0,436926,59351
34,1990_10_01_training_r14,0,25756,403018
35,1990_11_01_training_r14,0,500000,0
36,1990_12_01_training_r14,0,271474,202984
37,1991_01_01_training_r14,0,257287,224838
38,1991_02_01_training_r14,0,482011,11748
39,1991_03_01_training_r14,0,170557,305555
40,1991_04_01_training_r14,0,500000,0
41,1991_05_01_training_r14,0,500000,0
42,1991_06_01_training_r14,0,500000,0
43,1991_07_01_training_r14,0,307496,144034
44,1991_08_01_training_r14,0,500000,0
45,1991_09_01_training_r14,0,500000,0
46,1991_10_01_training_r14,0,228922,176779
47,1991_11_01_training_r14,0,9218,426532
48,1991_12_01_training_r14,0,76481,379920
49,1992_01_01_training_r14,0,82266,377745
50,1992_02_01_training_r14,0,373126,103741
51,1992_03_01_training_r14,0,30054,427923
52,1992_04_01_training_r14,0,373808,109485
53,1992_05_01_training_r14,0,500000,0
54,1992_06_01_training_r14,0,286536,59798
55,1992_07_01_training_r14,0,500000,0
56,1992_08_01_training_r14,0,500000,0
57,1992_09_01_training_r14,0,500000,0
58,1992_10_01_training_r14,0,500000,0
59,1992_11_01_training_r14,0,257876,225892
60,1992_12_01_training_r14,0,79359,382828
61,1993_01_01_training_r14,0,409690,53219
62,1993_02_01_training_r14,0,29042,428204
63,1993_03_01_training_r14,0,500000,0
64,1993_04_01_training_r14,0,3364,449390
65,1993_05_01_training_r14,0,353188,129363
66,1993_06_01_training_r14,0,500000,0
67,1993_07_01_training_r14,0,257630,166261
68,1993_08_01_training_r14,0,469645,15429
69,1993_09_01_training_r14,0,500000,0
70,1993_10_01_training_r14,0,142200,319668
71,1993_11_01_training_r14,0,166029,303551
72,1993_12_01_training_r14,0,500000,0
73,1994_01_01_training_r14,0,500000,0
74,1994_02_01_training_r14,0,500000,0
75,1994_03_01_training_r14,0,500000,0
76,1994_04_01_training_r14,0,500000,0
77,1994_05_01_training_r14,0,500000,0
78,1994_06_01_training_r14,0,500000,0
79,1994_07_01_training_r14,0,500000,0
80,1994_08_01_training_r14,0,500000,0
81,1994_09_01_training_r14,0,231068,206434
82,1994_10_01_training_r14,0,6179,431025
83,1994_11_01_training_r14,0,90418,367751
84,1994_12_01_training_r14,0,102342,360662
85,1995_01_01_training_r14,0,273629,205004
86,1995_02_01_training_r14,0,191290,295066
87,1995_03_01_training_r14,0,47935,418109
88,1995_04_01_training_r14,0,69100,393156
89,1995_05_01_training_r14,0,305502,151009
90,1995_06_01_training_r14,0,500000,0
91,1995_07_01_training_r14,0,500000,0
92,1995_08_01_training_r14,0,500000,0
93,1995_09_01_training_r14,0,500000,0
94,1995_10_01_training_r14,0,500000,0
95,1995_11_01_training_r14,0,500000,0
96,1995_12_01_training_r14,0,500000,0
97,1996_01_01_training_r14,0,500000,0
98,1996_02_01_training_r14,0,500000,0
99,1996_03_01_training_r14,0,500000,0
100,1996_04_01_training_r14,0,500000,0
101,1996_05_01_training_r14,0,500000,0
102,1996_06_01_training_r14,0,500000,0
103,1996_07_01_training_r14,0,500000,0
104,1996_08_01_training_r14,0,500000,0
105,1996_09_01_training_r14,0,500000,0
106,1996_10_01_training_r14,0,500000,0
107,1996_11_01_training_r14,0,500000,0
108,1996_12_01_training_r14,0,500000,0
109,1997_01_01_training_r14,0,500000,0
110,1997_02_01_training_r14,0,500000,0
111,1997_03_01_training_r14,0,500000,0
112,1997_04_01_training_r14,0,500000,0
