,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r8,0,8025,424155
1,1988_01_01_training_r8,0,23437,416506
2,1988_02_01_training_r8,0,9611,435332
3,1988_03_01_training_r8,0,228525,242905
4,1988_04_01_training_r8,0,223314,244907
5,1988_05_01_training_r8,0,500000,0
6,1988_06_01_training_r8,0,226838,210510
7,1988_07_01_training_r8,0,500000,0
8,1988_08_01_training_r8,0,500000,0
9,1988_09_01_training_r8,0,225793,161853
10,1988_10_01_training_r8,0,325065,123570
11,1988_11_01_training_r8,0,45727,368003
12,1988_12_01_training_r8,0,62954,367880
13,1989_01_01_training_r8,0,90796,344407
14,1989_02_01_training_r8,0,7571,434827
15,1989_03_01_training_r8,0,4114,444068
16,1989_04_01_training_r8,0,75902,363415
17,1989_05_01_training_r8,0,500000,0
18,1989_06_01_training_r8,0,500000,0
19,1989_07_01_training_r8,0,500000,0
20,1989_08_01_training_r8,0,500000,0
21,1989_09_01_training_r8,0,500000,0
22,1989_10_01_training_r8,0,74112,283225
23,1989_11_01_training_r8,0,12698,401762
24,1989_12_01_training_r8,0,302722,160138
25,1990_01_01_training_r8,0,107693,319739
26,1990_02_01_training_r8,0,130667,323186
27,1990_03_01_training_r8,0,500000,0
28,1990_04_01_training_r8,0,424627,28716
29,1990_05_01_training_r8,0,6533,393361
30,1990_06_01_training_r8,0,484302,8
31,1990_07_01_training_r8,0,500000,0
32,1990_08_01_training_r8,0,253047,164022
33,1990_09_01_training_r8,0,378219,59036
34,1990_10_01_training_r8,0,101806,304267
35,1990_11_01_training_r8,0,135887,298276
36,1990_12_01_training_r8,0,82981,353419
37,1991_01_01_training_r8,0,200911,266496
38,1991_02_01_training_r8,0,45731,399092
39,1991_03_01_training_r8,0,20304,418957
40,1991_04_01_training_r8,0,237485,207305
41,1991_05_01_training_r8,0,500000,0
42,1991_06_01_training_r8,0,500000,0
43,1991_07_01_training_r8,0,184514,156853
44,1991_08_01_training_r8,0,500000,0
45,1991_09_01_training_r8,0,500000,0
46,1991_10_01_training_r8,0,300984,130296
47,1991_11_01_training_r8,0,5267,402770
48,1991_12_01_training_r8,0,22487,415676
49,1992_01_01_training_r8,0,240331,223176
50,1992_02_01_training_r8,0,311171,135545
